"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="6117","迎廣","市","11/19","73.2","-0.4","-0.54","10","9.19","9.15","67","39.9","23.9","","","有","有","","","電腦及週邊設備業","賴文賢","黃國輝"
="6120","達運","市","11/19","10.1","-0.1","-0.98","10","59.9","59.9","60.5","36.1","23.9","","","","","","","光電業","蔡國新","黃勝凱"
="6128","上福","市","11/19","22.35","0","0","10","12.8","12.76","28.5","47.4","23.9","","","","","","","電腦及週邊設備業","王國印","王瑞麒"
="6133","金橋","市","11/19","15.65","-0.25","-1.57","10","11.7","11.7","18.3","49","23.8","","","","","","","電子零組件業","林麥升","蔣德山"
="6136","富爾特","市","11/19","23.5","-0.05","-0.21","10","11.6","11.55","27.2","33.6","23.8","","","","","","","通信網路業","吳長青","鄭正川"
="6139","亞翔","市","11/19","428.5","+14","+3.38","10","23.4","23.33","1,000","47","23.8","有","","有","有","","","其他電子業","姚祖驤","蔣曉麟"
="6141","柏承","市","11/19","10.4","-0.65","-5.88","10","11.3","11.34","11.8","35.5","23.8","","","","","","","電子零組件業","李齊良","洪宗義"
="6142","友勁","市","11/19","9.01","-0.19","-2.07","10","33.1","33.08","29.8","34.7","23.8","","","","","有","","通信網路業","吳宗哲","鄭吉智"
="6152","百一","市","11/19","8.24","-0.15","-1.79","10","16.8","16.77","13.8","30.4","23.6","","","","","","","通信網路業","許錦輝","陳衍史(代理)"
="6153","嘉聯益","市","11/19","14.1","-0.3","-2.08","10","63.6","63.62","89.7","33","23.8","有","","有","","有","","電子零組件業","賴偉珍","張家豪"
="6155","鈞寶","市","11/19","34.75","-2.15","-5.83","10","8.8","8.8","30.6","39","23.7","","","","","","","電子零組件業","楊正利","蔡裕江"
="6164","華興","市","11/19","9.67","-0.04","-0.41","10","8","8","7.74","48.2","23.6","","","","有","","","光電業","劉守雄","劉守雄"
="6165","浪凡","市","11/19","48.2","-1.05","-2.13","10","7.78","7.78","37.5","52.6","23.7","","","","","","","數位雲端","王亦衡","王亦衡"
="6166","凌華","市","11/19","55.9","+0.1","+0.18","10","21.7","21.75","122","30.2","23.6","","","有","","有","","電腦及週邊設備業","劉鈞","黃怡暾"
="6168","宏齊","市","11/19","18.4","-0.35","-1.87","10","20.6","20.61","37.9","30.7","23.7","","","","有","","","光電業","汪秉龍","汪秉龍"
="6176","瑞儀","市","11/19","118","0","0","10","46.5","46.5","549","30.3","23.6","有","","有","","","","光電業","王昱超","王昱超"
="6177","達麗","市","11/19","44.25","+0.05","+0.11","10","47.2","47.19","209","48.1","23.6","","","有","有","","","建材營造業","謝志長","李堯芳"
="6183","關貿","市","11/19","95.5","0","0","10","15","15","143","29.3","23.5","","","","","","","資訊服務業","張陸生","高國峰"
="6184","大豐電","市","11/19","46.4","0","0","10","15.8","15.83","73.4","29.7","23.5","","","","有","","","其他業","張銘志","劉登榮"
="6189","豐藝","市","11/19","42.75","-0.6","-1.38","10","26.4","26.38","113","39.5","23.2","","","有","有","","","電子通路業","陳澄芳","杜懷琪"
="6191","精成科","市","11/19","104","-2","-1.89","10","49.9","49.93","519","52.7","34.7","","","有","","","","電子零組件業","焦佑衡","陶正國/楊建輝"
="6192","巨路","市","11/19","98.6","+0.1","+0.1","10","9.62","9.62","94.8","50.3","23","","","","","","","其他電子業","林建國","周行"
="6196","帆宣","市","11/19","220.5","0","0","10","21.8","20.22","446","36.9","23.1","","","有","有","","","其他電子業","高新明","林育業"
="6197","佳必琪","市","11/19","137","-1","-0.72","10","12.2","12.21","167","33.5","22.9","","","有","有","","","電子零組件業","張舒眉","張偉三"
="6201","亞弘電","市","11/19","55.9","-0.6","-1.06","10","8.92","8.92","49.9","44","22.9","","","","","","","其他電子業","黃晉益","許瑞峯"
="6202","盛群","市","11/19","36.2","-0.5","-1.36","10","23","23.04","83.4","27.1","23","","","有","","有","","半導體業","吳啟勇","蔡榮宗"
="6205","詮欣","市","11/19","37","-1","-2.63","10","8.22","8.22","30.4","39.6","22.9","","","","有","","","電子零組件業","吳連溪","吳連溪"
="6206","飛捷","市","11/19","93","+0.2","+0.22","10","14.3","14.31","133","41.3","22.9","","","有","","","","電腦及週邊設備業","林大成","徐嘉宏"
="6209","今國光","市","11/19","56.5","-0.1","-0.18","10","17.4","17.44","98.6","45.4","22.9","","","","","","","光電業","陳慶棋","陳義方"
="6213","聯茂","市","11/19","99.6","-2.4","-2.35","10","36.3","36.3","362","28.6","22.9","有","","有","有","","","電子零組件業","陳進財","蔡馨(日彗)"
="6214","精誠","市","11/19","116.5","-3","-2.51","10","27.2","27.22","317","28.9","22.9","","","有","有","","","資訊服務業","林隆奮","林隆奮"
="6215","和椿","市","11/19","97.3","-1.3","-1.32","10","8.28","8.28","80.6","45","22.9","","","有","","","","其他電子業","程天縱","朱鋑隆"
="6216","居易","市","11/19","26.05","-0.15","-0.57","10","9.7","9.62","25.1","28.1","22.8","","","","有","","","通信網路業","馬鴻方","鄭明德"
="6224","聚鼎","市","11/19","42.25","-0.35","-0.82","10","8.56","8.56","36.2","27.9","22.9","","","","有","","","電子零組件業","朱復華","朱復華"
="6225","天瀚","市","11/19","16.2","-0.1","-0.61","10","2.78","2.78","4.5","28.1","22.8","","","","","有","","光電業","鄭又晉","葉綾蓮"
="6226","光鼎","市","11/19","6.57","-0.14","-2.09","10","11.6","11.55","7.59","38.2","22.8","","","","有","","","光電業","馬景鵬","馬景鵬"
="6230","尼得科超眾","市","11/19","107.5","-3.5","-3.15","10","8.63","8.63","92.8","51.9","22.8","","","有","","","","電腦及週邊設備業","三好昭宏","無"
="6235","華孚","市","11/19","57.6","-0.1","-0.17","10","20","19.99","115","71.8","22.7","","","有","","","","電腦及週邊設備業","蔡豐賜","甘錦添"
="6239","力成","市","11/19","154","-6.5","-4.05","10","75.9","75.91","1,169","28.5","22.6","有","","有","","","","半導體業","蔡篤恭","呂肇祥"
="6243","迅杰","市","11/19","27.6","-0.9","-3.16","10","4.53","4.53","12.5","27.5","22.6","","","","","有","","半導體業","羅時豪","許舒茵"
="6257","矽格","市","11/19","94.8","-0.5","-0.52","10","48.4","48.39","459","36.9","22.2","有","","有","有","","","半導體業","黃興陽","葉燦鍊"
="6269","台郡","市","11/19","49.15","-1.25","-2.48","10","32.3","32.32","159","27.9","22.2","有","","有","有","","","電子零組件業","鄭明智","David Cheng"
="6271","同欣電","市","11/19","122","+1.5","+1.24","10","20.9","20.91","255","51.3","18","有","","有","","","","半導體業","陳泰銘","呂紹萍"
="6277","宏正","市","11/19","60.9","+0.3","+0.5","10","11.9","11.95","72.8","46.4","22.1","","","","","","","電腦及週邊設備業","陳尚仲","陳尚仲"
="6278","台表科","市","11/19","98.3","-0.1","-0.1","10","29.2","29.24","287","35.7","21.7","有","","有","","","","光電業","伍開雲","伍允中"
="6281","全國電","市","11/19","63.7","-0.3","-0.47","10","9.92","9.92","63.2","39.9","20","","","","","","","電子通路業","林政勲","林政勲"
="6282","康舒","市","11/19","38.95","-0.85","-2.14","10","85.8","85.85","334","44.3","22.2","有","","有","有","","","電子零組件業","許介立","許介立"
="6283","淳安","市","11/19","25.3","-0.1","-0.39","10","14.8","14.79","37.4","29.9","22","","","","","有","","其他電子業","秦榮華","秦榮華"
="6285","啟碁","市","11/19","96","-2.2","-2.24","10","48.4","48.41","465","29","22.2","有","","有","","","","通信網路業","謝宏波","高健榮"
="6405","悅城","市","11/19","24.35","-1.2","-4.7","10","6.58","6.58","16","21.4","12","","","","","","","光電業","陳春夏","吳德宏"
="6409","旭隼","市","11/19","1045","-50","-4.57","10","8.77","8.77","917","17.6","11.6","","","有","","","","其他電子業","謝卓明","謝卓明"
="6412","群電","市","11/19","87.4","-0.8","-0.91","10","40.1","40.08","350","16.9","12","","","有","","","","電子零組件業","呂進宗","曾國華"
="6414","樺漢","市","11/19","288","-0.5","-0.17","10","13.8","13.75","396","26.4","11.6","有","","有","","","","電腦及週邊設備業","朱復銓","蔡能吉"
="6415","矽力*-KY","市","11/19","185","-6","-3.14","2.5","9.71","38.81","718","17.8","11.9","","","有","","","","半導體業","陳偉","游步東及謝兵"
="6416","瑞祺電通","市","11/19","75","-0.8","-1.06","10","7.33","7.33","55","18.6","7.6","","","有","","","","通信網路業","朱復銓","洪德富"
="6423","億而得-創","市","11/19","70.9","-1.9","-2.61","10","3","3","21.3","24.2","1.52","","","","","","","半導體業","黃文謙","黃文謙"
="6426","統新","市","11/19","65.8","+0.3","+0.46","10","3.85","3.85","25.3","22.3","10.9","","","","","","","通信網路業","李英坤","魏敬易"
="6431","光麗-KY","市","11/19","16.35","-0.15","-0.91","10","9.74","9.74","15.9","13.4","11","","","","","有","","生技醫療業","TEC INNOVATION CO.,LTD. 代表人：王嘉瑋","林敬祥"
="6438","迅得","市","11/19","119","-1","-0.83","10","8.22","8.22","97.8","26.1","8.57","","","有","有","","","其他電子業","王年清","."
="6442","光聖","市","11/19","1005","-25","-2.43","10","7.73","7.73","777","29.2","10.4","","","有","","","","通信網路業","CHEN, STEVE","張英華"
="6443","元晶","市","11/19","12.85","-0.35","-2.65","10","53.9","53.87","69.2","15.4","10.1","有","","有","","","有","光電業","偉任投資股份有限公司","洪振仁"
="6446","藥華藥","市","11/19","453.5","0","0","10","37.9","37.92","1,720","25.5","9.34","","","","","","","生技醫療業","詹青柳","黃正谷"
="6449","鈺邦","市","11/19","159","-3.5","-2.15","10","9.19","9.19","146","19.9","10.9","","","有","","","","電子零組件業","鄭敦仁","林溪東"
="6451","訊芯-KY","市","11/19","135.5","-5","-3.56","10","10.7","10.75","146","17.9","10.8","","","有","","","","半導體業","蔣尚義","徐文一"
="6456","GIS-KY","市","11/19","41.4","-0.85","-2.01","10","33.8","33.79","140","14.9","10.4","","","有","","","","光電業","周賢穎","徐同炤"
="6464","台數科","市","11/19","77.3","0","0","10","12.5","12.5","96.6","19.3","9.93","","","","有","","","其他業","廖紫岑","廖仁男"
="6472","保瑞","市","11/19","510","-18","-3.41","10","12.4","12.45","635","18.4","8.59","有","","有","","","","生技醫療業","盛保熙","盛保熙"
="6477","安集","市","11/19","34.2","-1.9","-5.26","10","12.4","12.38","42.3","18.8","9.42","","","","有","","","光電業","黃國棟","許家榮"
="6491","晶碩","市","11/19","310.5","-6","-1.9","10","7.8","7.8","242","16.2","6.12","","","有","","","","生技醫療業","郭明棟","楊德勝"
="6504","南六","市","11/19","42.05","+0.25","+0.6","10","7.26","7.26","30.5","47","12.5","","","","","","","其他業","黃清山","黃世鐘"
="6505","台塑化","市","11/19","53.5","-0.6","-1.11","10","953","952.6","5,096","33.6","21.9","有","","有","有","","","油電燃氣業","曹明","林克彥"
="6515","穎崴","市","11/19","2140","-20","-0.93","10","3.6","3.6","771","24.6","4.83","","","有","有","","","半導體業","王嘉煌","王嘉煌"
="6525","捷敏-KY","市","11/19","73","-0.3","-0.41","10","12.9","12.9","94.2","27.6","9.61","","","","","","","半導體業","鄭祝良","湯彥鏘"
="6526","達發","市","11/19","434","-6.5","-1.48","10","16.8","16.75","727","24.3","2.09","有","","有","","","","半導體業","謝清江","謝清江"
="6531","愛普*","市","11/19","401.5","-8","-1.95","5","8.13","16.25","652","14.3","9.47","","","有","","","","半導體業","陳文良","洪志勳"
="6533","晶心科","市","11/19","264.5","-3","-1.12","10","5.07","5.07","134","20.7","8.69","","","有","","","","半導體業","林志明","蘇泓萌"
="6534","正瀚-創","市","11/19","93.6","+0.4","+0.43","10","10.3","10.28","96.2","12","1.92","","","","","","","生技醫療業","吳正邦","陳文仁 (暫代)"
